State,Year,Race,Gender,Age,Education,Current_Consumption,Previous_Year_Consumption,Current_Tax,Previous_Year_Tax
Delaware,2017,African American,Overall,All Ages,All Grades,17.6,16.4,3.11,2.61
Delaware,2017,All Races,Female,18 to 44 Years,All Grades,19.4,16.3,3.11,2.61
Delaware,2017,All Races,Female,All Ages,All Grades,16.2,16.4,3.11,2.61
Delaware,2017,All Races,Male,All Ages,All Grades,17.9,19.0,3.11,2.61
Delaware,2017,All Races,Overall,18 to 24 Years,All Grades,13.0,11.8,3.11,2.61
Delaware,2017,All Races,Overall,25 to 44 Years,All Grades,24.0,21.2,3.11,2.61
Delaware,2017,All Races,Overall,45 to 64 Years,All Grades,18.2,21.9,3.11,2.61
Delaware,2017,All Races,Overall,65 Years and Older,All Grades,7.7,9.4,3.11,2.61
Delaware,2017,All Races,Overall,Age 20 and Older,12th Grade,22.4,23.0,3.11,2.61
Delaware,2017,All Races,Overall,Age 20 and Older,< 12th Grade,27.2,29.3,3.11,2.61
Delaware,2017,All Races,Overall,Age 20 and Older,> 12th Grade,12.6,12.8,3.11,2.61
Delaware,2017,All Races,Overall,Age 25 and Older,12th Grade,22.6,22.8,3.11,2.61
Delaware,2017,All Races,Overall,Age 25 and Older,< 12th Grade,26.5,29.5,3.11,2.61
Delaware,2017,All Races,Overall,Age 25 and Older,> 12th Grade,13.2,13.5,3.11,2.61
Delaware,2017,All Races,Overall,All Ages,All Grades,17.0,17.7,3.11,2.61
Delaware,2017,American Indian/Alaska Native,Overall,All Ages,All Grades,39.6,,3.11,2.61
Delaware,2017,Asian/Pacific Islander,Overall,All Ages,All Grades,14.3,6.7,3.11,2.61
Delaware,2017,Hispanic,Overall,All Ages,All Grades,9.4,10.2,3.11,2.61
Delaware,2017,White,Overall,All Ages,All Grades,17.1,18.5,3.11,2.61
District of Columbia,2015,African American,Overall,All Ages,All Grades,24.6,26.0,3.91,3.87
District of Columbia,2015,All Races,Female,18 to 44 Years,All Grades,15.3,14.6,3.91,3.87
District of Columbia,2015,All Races,Female,All Ages,All Grades,16.1,14.6,3.91,3.87
District of Columbia,2015,All Races,Male,All Ages,All Grades,15.8,18.4,3.91,3.87
District of Columbia,2015,All Races,Overall,18 to 24 Years,All Grades,13.9,12.7,3.91,3.87
District of Columbia,2015,All Races,Overall,25 to 44 Years,All Grades,14.9,15.2,3.91,3.87
District of Columbia,2015,All Races,Overall,45 to 64 Years,All Grades,21.7,23.8,3.91,3.87
District of Columbia,2015,All Races,Overall,65 Years and Older,All Grades,10.2,9.0,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 20 and Older,12th Grade,28.5,25.8,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 20 and Older,< 12th Grade,29.8,39.6,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 20 and Older,> 12th Grade,11.3,10.9,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 25 and Older,12th Grade,28.3,26.7,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 25 and Older,< 12th Grade,27.7,36.4,3.91,3.87
District of Columbia,2015,All Races,Overall,Age 25 and Older,> 12th Grade,11.9,11.5,3.91,3.87
District of Columbia,2015,All Races,Overall,All Ages,All Grades,16.0,16.4,3.91,3.87
District of Columbia,2015,American Indian/Alaska Native,Overall,All Ages,All Grades,,,3.91,3.87
District of Columbia,2015,Asian/Pacific Islander,Overall,All Ages,All Grades,3.4,3.0,3.91,3.87
District of Columbia,2015,Hispanic,Overall,All Ages,All Grades,13.3,10.8,3.91,3.87
District of Columbia,2015,White,Overall,All Ages,All Grades,7.0,7.3,3.91,3.87
District of Columbia,2016,African American,Overall,All Ages,All Grades,21.8,24.6,3.93,3.91
District of Columbia,2016,All Races,Female,18 to 44 Years,All Grades,10.4,15.3,3.93,3.91
District of Columbia,2016,All Races,Female,All Ages,All Grades,12.1,16.1,3.93,3.91
District of Columbia,2016,All Races,Male,All Ages,All Grades,17.7,15.8,3.93,3.91
District of Columbia,2016,All Races,Overall,18 to 24 Years,All Grades,12.9,13.9,3.93,3.91
District of Columbia,2016,All Races,Overall,25 to 44 Years,All Grades,13.8,14.9,3.93,3.91
District of Columbia,2016,All Races,Overall,45 to 64 Years,All Grades,20.1,21.7,3.93,3.91
District of Columbia,2016,All Races,Overall,65 Years and Older,All Grades,9.0,10.2,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 20 and Older,12th Grade,24.4,28.5,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 20 and Older,< 12th Grade,27.6,29.8,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 20 and Older,> 12th Grade,11.2,11.3,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 25 and Older,12th Grade,25.3,28.3,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 25 and Older,< 12th Grade,27.7,27.7,3.93,3.91
District of Columbia,2016,All Races,Overall,Age 25 and Older,> 12th Grade,10.7,11.9,3.93,3.91
District of Columbia,2016,All Races,Overall,All Ages,All Grades,14.7,16.0,3.93,3.91
District of Columbia,2016,American Indian/Alaska Native,Overall,All Ages,All Grades,,,3.93,3.91
District of Columbia,2016,Asian/Pacific Islander,Overall,All Ages,All Grades,6.6,3.4,3.93,3.91
District of Columbia,2016,Hispanic,Overall,All Ages,All Grades,8.8,13.3,3.93,3.91
District of Columbia,2016,White,Overall,All Ages,All Grades,9.3,7.0,3.93,3.91
District of Columbia,2017,African American,Overall,All Ages,All Grades,22.2,21.8,3.95,3.93
District of Columbia,2017,All Races,Female,18 to 44 Years,All Grades,9.6,10.4,3.95,3.93
District of Columbia,2017,All Races,Female,All Ages,All Grades,11.3,12.1,3.95,3.93
District of Columbia,2017,All Races,Male,All Ages,All Grades,17.8,17.7,3.95,3.93
District of Columbia,2017,All Races,Overall,18 to 24 Years,All Grades,7.8,12.9,3.95,3.93
District of Columbia,2017,All Races,Overall,25 to 44 Years,All Grades,14.4,13.8,3.95,3.93
District of Columbia,2017,All Races,Overall,45 to 64 Years,All Grades,18.8,20.1,3.95,3.93
District of Columbia,2017,All Races,Overall,65 Years and Older,All Grades,11.5,9.0,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 20 and Older,12th Grade,24.1,24.4,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 20 and Older,< 12th Grade,33.0,27.6,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 20 and Older,> 12th Grade,9.9,11.2,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 25 and Older,12th Grade,26.2,25.3,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 25 and Older,< 12th Grade,34.7,27.7,3.95,3.93
District of Columbia,2017,All Races,Overall,Age 25 and Older,> 12th Grade,10.0,10.7,3.95,3.93
District of Columbia,2017,All Races,Overall,All Ages,All Grades,14.3,14.7,3.95,3.93
District of Columbia,2017,American Indian/Alaska Native,Overall,All Ages,All Grades,,,3.95,3.93
District of Columbia,2017,Asian/Pacific Islander,Overall,All Ages,All Grades,9.8,6.6,3.95,3.93
District of Columbia,2017,Hispanic,Overall,All Ages,All Grades,10.8,8.8,3.95,3.93
District of Columbia,2017,White,Overall,All Ages,All Grades,6.9,9.3,3.95,3.93
District of Columbia,2018,African American,Overall,All Ages,All Grades,21.8,22.2,5.95,3.95
District of Columbia,2018,All Races,Female,18 to 44 Years,All Grades,11.5,9.6,5.95,3.95
District of Columbia,2018,All Races,Female,All Ages,All Grades,12.6,11.3,5.95,3.95
District of Columbia,2018,All Races,Male,All Ages,All Grades,15.1,17.8,5.95,3.95
District of Columbia,2018,All Races,Overall,18 to 24 Years,All Grades,4.9,7.8,5.95,3.95
District of Columbia,2018,All Races,Overall,25 to 44 Years,All Grades,14.0,14.4,5.95,3.95
District of Columbia,2018,All Races,Overall,45 to 64 Years,All Grades,18.6,18.8,5.95,3.95
District of Columbia,2018,All Races,Overall,65 Years and Older,All Grades,11.8,11.5,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 20 and Older,12th Grade,24.3,24.1,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 20 and Older,< 12th Grade,37.2,33.0,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 20 and Older,> 12th Grade,9.0,9.9,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 25 and Older,12th Grade,27.4,26.2,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 25 and Older,< 12th Grade,37.7,34.7,5.95,3.95
District of Columbia,2018,All Races,Overall,Age 25 and Older,> 12th Grade,9.2,10.0,5.95,3.95
District of Columbia,2018,All Races,Overall,All Ages,All Grades,13.8,14.3,5.95,3.95
District of Columbia,2018,American Indian/Alaska Native,Overall,All Ages,All Grades,,,5.95,3.95
District of Columbia,2018,Asian/Pacific Islander,Overall,All Ages,All Grades,6.6,9.8,5.95,3.95
District of Columbia,2018,Hispanic,Overall,All Ages,All Grades,7.8,10.8,5.95,3.95
District of Columbia,2018,White,Overall,All Ages,All Grades,6.9,6.9,5.95,3.95
Illinois,2012,African American,Overall,All Ages,All Grades,22.5,27.1,2.99,1.99
Illinois,2012,All Races,Female,18 to 44 Years,All Grades,18.2,18.0,2.99,1.99
Illinois,2012,All Races,Female,All Ages,All Grades,16.2,17.8,2.99,1.99
Illinois,2012,All Races,Male,All Ages,All Grades,21.1,24.2,2.99,1.99
Illinois,2012,All Races,Overall,18 to 24 Years,All Grades,15.4,25.2,2.99,1.99
Illinois,2012,All Races,Overall,25 to 44 Years,All Grades,24.4,24.1,2.99,1.99
Illinois,2012,All Races,Overall,45 to 64 Years,All Grades,19.5,22.6,2.99,1.99
Illinois,2012,All Races,Overall,65 Years and Older,All Grades,7.7,7.6,2.99,1.99
Illinois,2012,All Races,Overall,Age 20 and Older,12th Grade,24.0,28.7,2.99,1.99
Illinois,2012,All Races,Overall,Age 20 and Older,< 12th Grade,28.2,31.8,2.99,1.99
Illinois,2012,All Races,Overall,Age 20 and Older,> 12th Grade,15.4,15.2,2.99,1.99
Illinois,2012,All Races,Overall,Age 25 and Older,12th Grade,23.4,26.7,2.99,1.99
Illinois,2012,All Races,Overall,Age 25 and Older,< 12th Grade,27.3,30.7,2.99,1.99
Illinois,2012,All Races,Overall,Age 25 and Older,> 12th Grade,15.4,14.7,2.99,1.99
Illinois,2012,All Races,Overall,All Ages,All Grades,18.6,20.9,2.99,1.99
Illinois,2012,American Indian/Alaska Native,Overall,All Ages,All Grades,,,2.99,1.99
Illinois,2012,Asian/Pacific Islander,Overall,All Ages,All Grades,13.6,5.8,2.99,1.99
Illinois,2012,Hispanic,Overall,All Ages,All Grades,14.5,23.5,2.99,1.99
Illinois,2012,White,Overall,All Ages,All Grades,18.7,19.8,2.99,1.99
Illinois,2019,African American,Overall,All Ages,All Grades,18.8,21.4,3.99,2.99
Illinois,2019,All Races,Female,18 to 44 Years,All Grades,12.7,13.5,3.99,2.99
Illinois,2019,All Races,Female,All Ages,All Grades,12.1,12.1,3.99,2.99
Illinois,2019,All Races,Male,All Ages,All Grades,17.0,18.9,3.99,2.99
Illinois,2019,All Races,Overall,18 to 24 Years,All Grades,7.4,11.9,3.99,2.99
Illinois,2019,All Races,Overall,25 to 44 Years,All Grades,18.1,20.4,3.99,2.99
Illinois,2019,All Races,Overall,45 to 64 Years,All Grades,16.7,15.2,3.99,2.99
Illinois,2019,All Races,Overall,65 Years and Older,All Grades,9.2,9.8,3.99,2.99
Illinois,2019,All Races,Overall,Age 20 and Older,12th Grade,20.3,19.6,3.99,2.99
Illinois,2019,All Races,Overall,Age 20 and Older,< 12th Grade,21.5,22.7,3.99,2.99
Illinois,2019,All Races,Overall,Age 20 and Older,> 12th Grade,11.7,12.7,3.99,2.99
Illinois,2019,All Races,Overall,Age 25 and Older,12th Grade,20.7,20.0,3.99,2.99
Illinois,2019,All Races,Overall,Age 25 and Older,< 12th Grade,21.9,23.9,3.99,2.99
Illinois,2019,All Races,Overall,Age 25 and Older,> 12th Grade,12.1,12.9,3.99,2.99
Illinois,2019,All Races,Overall,All Ages,All Grades,14.5,15.5,3.99,2.99
Illinois,2019,American Indian/Alaska Native,Overall,All Ages,All Grades,,,3.99,2.99
Illinois,2019,Asian/Pacific Islander,Overall,All Ages,All Grades,10.3,8.1,3.99,2.99
Illinois,2019,Hispanic,Overall,All Ages,All Grades,12.2,10.0,3.99,2.99
Illinois,2019,White,Overall,All Ages,All Grades,14.1,16.1,3.99,2.99
Kansas,2015,African American,Overall,All Ages,All Grades,25.1,25.5,2.3,1.8
Kansas,2015,All Races,Female,18 to 44 Years,All Grades,17.6,19.2,2.3,1.8
Kansas,2015,All Races,Female,All Ages,All Grades,16.1,16.7,2.3,1.8
Kansas,2015,All Races,Male,All Ages,All Grades,19.3,19.5,2.3,1.8
Kansas,2015,All Races,Overall,18 to 24 Years,All Grades,15.4,18.0,2.3,1.8
Kansas,2015,All Races,Overall,25 to 44 Years,All Grades,22.1,21.9,2.3,1.8
Kansas,2015,All Races,Overall,45 to 64 Years,All Grades,19.7,19.1,2.3,1.8
Kansas,2015,All Races,Overall,65 Years and Older,All Grades,8.7,9.9,2.3,1.8
Kansas,2015,All Races,Overall,Age 20 and Older,12th Grade,24.4,24.9,2.3,1.8
Kansas,2015,All Races,Overall,Age 20 and Older,< 12th Grade,29.9,31.8,2.3,1.8
Kansas,2015,All Races,Overall,Age 20 and Older,> 12th Grade,13.7,13.4,2.3,1.8
Kansas,2015,All Races,Overall,Age 25 and Older,12th Grade,24.0,24.0,2.3,1.8
Kansas,2015,All Races,Overall,Age 25 and Older,< 12th Grade,29.9,30.4,2.3,1.8
Kansas,2015,All Races,Overall,Age 25 and Older,> 12th Grade,13.7,13.6,2.3,1.8
Kansas,2015,All Races,Overall,All Ages,All Grades,17.7,18.1,2.3,1.8
Kansas,2015,American Indian/Alaska Native,Overall,All Ages,All Grades,27.7,35.1,2.3,1.8
Kansas,2015,Asian/Pacific Islander,Overall,All Ages,All Grades,9.3,10.6,2.3,1.8
Kansas,2015,Hispanic,Overall,All Ages,All Grades,16.0,14.2,2.3,1.8
Kansas,2015,White,Overall,All Ages,All Grades,17.3,17.5,2.3,1.8
Kentucky,2018,African American,Overall,All Ages,All Grades,24.8,21.4,2.11,1.61
Kentucky,2018,All Races,Female,18 to 44 Years,All Grades,29.4,27.5,2.11,1.61
Kentucky,2018,All Races,Female,All Ages,All Grades,23.3,22.4,2.11,1.61
Kentucky,2018,All Races,Male,All Ages,All Grades,23.2,26.9,2.11,1.61
Kentucky,2018,All Races,Overall,18 to 24 Years,All Grades,20.4,15.6,2.11,1.61
Kentucky,2018,All Races,Overall,25 to 44 Years,All Grades,30.8,32.4,2.11,1.61
Kentucky,2018,All Races,Overall,45 to 64 Years,All Grades,23.9,27.8,2.11,1.61
Kentucky,2018,All Races,Overall,65 Years and Older,All Grades,13.1,12.5,2.11,1.61
Kentucky,2018,All Races,Overall,Age 20 and Older,12th Grade,27.5,28.5,2.11,1.61
Kentucky,2018,All Races,Overall,Age 20 and Older,< 12th Grade,38.7,43.5,2.11,1.61
Kentucky,2018,All Races,Overall,Age 20 and Older,> 12th Grade,17.9,17.6,2.11,1.61
Kentucky,2018,All Races,Overall,Age 25 and Older,12th Grade,27.2,28.0,2.11,1.61
Kentucky,2018,All Races,Overall,Age 25 and Older,< 12th Grade,37.4,44.5,2.11,1.61
Kentucky,2018,All Races,Overall,Age 25 and Older,> 12th Grade,18.1,18.5,2.11,1.61
Kentucky,2018,All Races,Overall,All Ages,All Grades,23.4,24.6,2.11,1.61
Kentucky,2018,American Indian/Alaska Native,Overall,All Ages,All Grades,36.6,43.9,2.11,1.61
Kentucky,2018,Asian/Pacific Islander,Overall,All Ages,All Grades,,,2.11,1.61
Kentucky,2018,Hispanic,Overall,All Ages,All Grades,20.3,25.0,2.11,1.61
Kentucky,2018,White,Overall,All Ages,All Grades,23.4,24.6,2.11,1.61
Louisiana,2015,African American,Overall,All Ages,All Grades,21.2,24.6,1.87,1.37
Louisiana,2015,All Races,Female,18 to 44 Years,All Grades,19.4,23.0,1.87,1.37
Louisiana,2015,All Races,Female,All Ages,All Grades,19.3,20.7,1.87,1.37
Louisiana,2015,All Races,Male,All Ages,All Grades,24.7,27.6,1.87,1.37
Louisiana,2015,All Races,Overall,18 to 24 Years,All Grades,16.2,17.5,1.87,1.37
Louisiana,2015,All Races,Overall,25 to 44 Years,All Grades,26.1,31.2,1.87,1.37
Louisiana,2015,All Races,Overall,45 to 64 Years,All Grades,25.5,25.9,1.87,1.37
Louisiana,2015,All Races,Overall,65 Years and Older,All Grades,11.4,11.6,1.87,1.37
Louisiana,2015,All Races,Overall,Age 20 and Older,12th Grade,24.9,25.6,1.87,1.37
Louisiana,2015,All Races,Overall,Age 20 and Older,< 12th Grade,37.9,43.9,1.87,1.37
Louisiana,2015,All Races,Overall,Age 20 and Older,> 12th Grade,15.5,17.0,1.87,1.37
Louisiana,2015,All Races,Overall,Age 25 and Older,12th Grade,25.1,26.2,1.87,1.37
Louisiana,2015,All Races,Overall,Age 25 and Older,< 12th Grade,39.7,44.1,1.87,1.37
Louisiana,2015,All Races,Overall,Age 25 and Older,> 12th Grade,15.2,17.4,1.87,1.37
Louisiana,2015,All Races,Overall,All Ages,All Grades,21.9,24.0,1.87,1.37
Louisiana,2015,American Indian/Alaska Native,Overall,All Ages,All Grades,,31.6,1.87,1.37
Louisiana,2015,Asian/Pacific Islander,Overall,All Ages,All Grades,,,1.87,1.37
Louisiana,2015,Hispanic,Overall,All Ages,All Grades,23.6,19.8,1.87,1.37
Louisiana,2015,White,Overall,All Ages,All Grades,22.3,23.8,1.87,1.37
Louisiana,2016,African American,Overall,All Ages,All Grades,22.3,21.2,2.09,1.87
Louisiana,2016,All Races,Female,18 to 44 Years,All Grades,24.8,19.4,2.09,1.87
Louisiana,2016,All Races,Female,All Ages,All Grades,20.2,19.3,2.09,1.87
Louisiana,2016,All Races,Male,All Ages,All Grades,25.5,24.7,2.09,1.87
Louisiana,2016,All Races,Overall,18 to 24 Years,All Grades,21.4,16.2,2.09,1.87
Louisiana,2016,All Races,Overall,25 to 44 Years,All Grades,28.6,26.1,2.09,1.87
Louisiana,2016,All Races,Overall,45 to 64 Years,All Grades,23.7,25.5,2.09,1.87
Louisiana,2016,All Races,Overall,65 Years and Older,All Grades,11.5,11.4,2.09,1.87
Louisiana,2016,All Races,Overall,Age 20 and Older,12th Grade,24.5,24.9,2.09,1.87
Louisiana,2016,All Races,Overall,Age 20 and Older,< 12th Grade,37.2,37.9,2.09,1.87
Louisiana,2016,All Races,Overall,Age 20 and Older,> 12th Grade,17.6,15.5,2.09,1.87
Louisiana,2016,All Races,Overall,Age 25 and Older,12th Grade,25.1,25.1,2.09,1.87
Louisiana,2016,All Races,Overall,Age 25 and Older,< 12th Grade,34.8,39.7,2.09,1.87
Louisiana,2016,All Races,Overall,Age 25 and Older,> 12th Grade,17.5,15.2,2.09,1.87
Louisiana,2016,All Races,Overall,All Ages,All Grades,22.8,21.9,2.09,1.87
Louisiana,2016,American Indian/Alaska Native,Overall,All Ages,All Grades,25.3,,2.09,1.87
