State,Year,Gender,Race,Age,Education,Current_Consumption,Previous_Year_Consumption,Percent_Consumption_Change
Arizona,2012,Overall,Hispanic,All Ages,All Grades,14.3,13.3,7.518796992481203
Arizona,2012,Overall,White,All Ages,All Grades,18.2,21.7,-16.129032258064516
Arkansas,2012,Female,All Races,18 to 44 Years,All Grades,27.4,29.7,-7.744107744107747
Arkansas,2012,Female,All Races,All Ages,All Grades,22.8,25.2,-9.523809523809518
Arkansas,2012,Male,All Races,All Ages,All Grades,27.5,28.9,-4.8442906574394415
Arkansas,2012,Overall,African American,All Ages,All Grades,31.0,27.3,13.553113553113551
Arkansas,2012,Overall,All Races,18 to 24 Years,All Grades,27.3,27.1,0.7380073800737981
Arkansas,2012,Overall,All Races,25 to 44 Years,All Grades,30.6,32.9,-6.990881458966557
Arkansas,2012,Overall,All Races,45 to 64 Years,All Grades,27.9,29.7,-6.060606060606062
Arkansas,2012,Overall,All Races,65 Years and Older,All Grades,10.2,11.6,-12.068965517241383
Arkansas,2012,Overall,All Races,Age 20 and Older,12th Grade,29.3,31.2,-6.089743589743585
Arkansas,2012,Overall,All Races,Age 20 and Older,< 12th Grade,36.8,40.3,-8.6848635235732
Arkansas,2012,Overall,All Races,Age 20 and Older,> 12th Grade,18.7,19.0,-1.5789473684210564
Arkansas,2012,Overall,All Races,Age 25 and Older,12th Grade,26.5,31.0,-14.516129032258064
Arkansas,2012,Overall,All Races,Age 25 and Older,< 12th Grade,36.4,38.5,-5.454545454545459
Arkansas,2012,Overall,All Races,Age 25 and Older,> 12th Grade,19.4,19.0,2.105263157894729
Arkansas,2012,Overall,All Races,All Ages,All Grades,25.0,27.0,-7.407407407407407
Arkansas,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,37.1,33.0,12.424242424242427
Arkansas,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Arkansas,2012,Overall,Hispanic,All Ages,All Grades,16.0,15.1,5.960264900662254
Arkansas,2012,Overall,White,All Ages,All Grades,24.7,27.4,-9.854014598540145
California,2012,Female,All Races,18 to 44 Years,All Grades,11.0,10.4,5.769230769230766
California,2012,Female,All Races,All Ages,All Grades,10.1,10.0,0.9999999999999964
California,2012,Male,All Races,All Ages,All Grades,15.2,17.3,-12.13872832369943
California,2012,Overall,African American,All Ages,All Grades,15.5,19.8,-21.71717171717172
California,2012,Overall,All Races,18 to 24 Years,All Grades,11.9,13.4,-11.194029850746269
California,2012,Overall,All Races,25 to 44 Years,All Grades,15.1,16.4,-7.926829268292677
California,2012,Overall,All Races,45 to 64 Years,All Grades,13.4,13.7,-2.1897810218978027
California,2012,Overall,All Races,65 Years and Older,All Grades,5.9,6.9,-14.492753623188404
California,2012,Overall,All Races,Age 20 and Older,12th Grade,18.1,19.5,-7.179487179487173
California,2012,Overall,All Races,Age 20 and Older,< 12th Grade,16.7,15.3,9.150326797385611
California,2012,Overall,All Races,Age 20 and Older,> 12th Grade,9.8,11.4,-14.035087719298243
California,2012,Overall,All Races,Age 25 and Older,12th Grade,18.7,19.6,-4.591836734693888
California,2012,Overall,All Races,Age 25 and Older,< 12th Grade,15.7,15.0,4.666666666666662
California,2012,Overall,All Races,Age 25 and Older,> 12th Grade,9.8,11.2,-12.499999999999988
California,2012,Overall,All Races,All Ages,All Grades,12.6,13.7,-8.029197080291969
California,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,27.9,24.0,16.249999999999996
California,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,7.4,8.0,-7.499999999999996
California,2012,Overall,Hispanic,All Ages,All Grades,11.7,12.0,-2.5000000000000058
California,2012,Overall,White,All Ages,All Grades,14.1,15.1,-6.622516556291391
Colorado,2012,Female,All Races,18 to 44 Years,All Grades,18.0,16.9,6.50887573964498
Colorado,2012,Female,All Races,All Ages,All Grades,16.3,15.2,7.236842105263167
Colorado,2012,Male,All Races,All Ages,All Grades,19.2,21.3,-9.859154929577471
Colorado,2012,Overall,African American,All Ages,All Grades,22.0,23.2,-5.172413793103446
Colorado,2012,Overall,All Races,18 to 24 Years,All Grades,16.8,21.6,-22.222222222222225
Colorado,2012,Overall,All Races,25 to 44 Years,All Grades,21.4,21.9,-2.2831050228310503
Colorado,2012,Overall,All Races,45 to 64 Years,All Grades,18.3,17.5,4.571428571428576
Colorado,2012,Overall,All Races,65 Years and Older,All Grades,9.1,8.8,3.4090909090908967
Colorado,2012,Overall,All Races,Age 20 and Older,12th Grade,25.9,25.1,3.1872509960159245
Colorado,2012,Overall,All Races,Age 20 and Older,< 12th Grade,34.8,32.3,7.739938080495357
Colorado,2012,Overall,All Races,Age 20 and Older,> 12th Grade,13.0,13.5,-3.7037037037037037
Colorado,2012,Overall,All Races,Age 25 and Older,12th Grade,26.2,24.6,6.504065040650397
Colorado,2012,Overall,All Races,Age 25 and Older,< 12th Grade,33.5,30.9,8.414239482200651
Colorado,2012,Overall,All Races,Age 25 and Older,> 12th Grade,12.8,13.4,-4.477611940298504
Colorado,2012,Overall,All Races,All Ages,All Grades,17.7,18.3,-3.2786885245901716
Colorado,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,34.5,18.4,87.50000000000001
Colorado,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,14.7,10.2,44.11764705882353
Colorado,2012,Overall,Hispanic,All Ages,All Grades,19.6,20.2,-2.97029702970296
Colorado,2012,Overall,White,All Ages,All Grades,16.8,17.6,-4.545454545454549
Connecticut,2012,Female,All Races,18 to 44 Years,All Grades,16.8,18.4,-8.695652173913032
Connecticut,2012,Female,All Races,All Ages,All Grades,13.7,15.4,-11.038961038961046
Connecticut,2012,Male,All Races,All Ages,All Grades,18.5,19.0,-2.6315789473684212
Connecticut,2012,Overall,African American,All Ages,All Grades,17.3,20.8,-16.826923076923077
Connecticut,2012,Overall,All Races,18 to 24 Years,All Grades,17.7,19.4,-8.762886597938142
Connecticut,2012,Overall,All Races,25 to 44 Years,All Grades,21.8,21.5,1.3953488372093057
Connecticut,2012,Overall,All Races,45 to 64 Years,All Grades,15.2,17.1,-11.111111111111123
Connecticut,2012,Overall,All Races,65 Years and Older,All Grades,7.6,8.5,-10.58823529411765
Connecticut,2012,Overall,All Races,Age 20 and Older,12th Grade,22.1,24.8,-10.887096774193546
Connecticut,2012,Overall,All Races,Age 20 and Older,< 12th Grade,26.0,22.2,17.11711711711712
Connecticut,2012,Overall,All Races,Age 20 and Older,> 12th Grade,12.2,13.2,-7.575757575757576
Connecticut,2012,Overall,All Races,Age 25 and Older,12th Grade,21.3,24.5,-13.061224489795917
Connecticut,2012,Overall,All Races,Age 25 and Older,< 12th Grade,24.1,21.8,10.550458715596333
Connecticut,2012,Overall,All Races,Age 25 and Older,> 12th Grade,11.9,12.5,-4.799999999999997
Connecticut,2012,Overall,All Races,All Ages,All Grades,16.0,17.1,-6.432748538011704
Connecticut,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Connecticut,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,5.1,11.1,-54.054054054054056
Connecticut,2012,Overall,Hispanic,All Ages,All Grades,19.0,17.1,11.111111111111102
Connecticut,2012,Overall,White,All Ages,All Grades,15.4,16.8,-8.333333333333334
Delaware,2012,Female,All Races,18 to 44 Years,All Grades,21.3,20.6,3.3980582524271807
Delaware,2012,Female,All Races,All Ages,All Grades,18.9,18.3,3.278688524590152
Delaware,2012,Male,All Races,All Ages,All Grades,20.7,25.5,-18.823529411764707
Delaware,2012,Overall,African American,All Ages,All Grades,19.7,21.5,-8.372093023255816
Delaware,2012,Overall,All Races,18 to 24 Years,All Grades,21.3,19.2,10.937500000000007
Delaware,2012,Overall,All Races,25 to 44 Years,All Grades,25.4,30.6,-16.99346405228759
Delaware,2012,Overall,All Races,45 to 64 Years,All Grades,20.4,21.4,-4.672897196261682
Delaware,2012,Overall,All Races,65 Years and Older,All Grades,8.9,8.9,0.0
Delaware,2012,Overall,All Races,Age 20 and Older,12th Grade,24.6,26.8,-8.208955223880595
Delaware,2012,Overall,All Races,Age 20 and Older,< 12th Grade,34.8,38.8,-10.309278350515465
Delaware,2012,Overall,All Races,Age 20 and Older,> 12th Grade,14.6,16.2,-9.876543209876543
Delaware,2012,Overall,All Races,Age 25 and Older,12th Grade,24.0,26.5,-9.433962264150944
Delaware,2012,Overall,All Races,Age 25 and Older,< 12th Grade,32.6,38.8,-15.979381443298958
Delaware,2012,Overall,All Races,Age 25 and Older,> 12th Grade,14.4,15.8,-8.860759493670887
Delaware,2012,Overall,All Races,All Ages,All Grades,19.7,21.8,-9.633027522935786
Delaware,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Delaware,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,0.6,13.3,-95.48872180451127
Delaware,2012,Overall,Hispanic,All Ages,All Grades,15.0,26.6,-43.60902255639098
Delaware,2012,Overall,White,All Ages,All Grades,20.9,21.2,-1.415094339622645
District of Columbia,2012,Female,All Races,18 to 44 Years,All Grades,17.0,17.2,-1.1627906976744145
District of Columbia,2012,Female,All Races,All Ages,All Grades,17.0,17.1,-0.5847953216374352
District of Columbia,2012,Male,All Races,All Ages,All Grades,22.6,25.1,-9.9601593625498
District of Columbia,2012,Overall,African American,All Ages,All Grades,29.1,30.8,-5.519480519480518
District of Columbia,2012,Overall,All Races,18 to 24 Years,All Grades,21.9,16.1,36.02484472049688
District of Columbia,2012,Overall,All Races,25 to 44 Years,All Grades,18.0,22.9,-21.39737991266375
District of Columbia,2012,Overall,All Races,45 to 64 Years,All Grades,27.5,25.1,9.561752988047802
District of Columbia,2012,Overall,All Races,65 Years and Older,All Grades,8.2,11.0,-25.45454545454546
District of Columbia,2012,Overall,All Races,Age 20 and Older,12th Grade,35.0,28.9,21.107266435986165
District of Columbia,2012,Overall,All Races,Age 20 and Older,< 12th Grade,44.2,43.8,0.9132420091324331
District of Columbia,2012,Overall,All Races,Age 20 and Older,> 12th Grade,11.9,14.4,-17.36111111111111
District of Columbia,2012,Overall,All Races,Age 25 and Older,12th Grade,34.7,29.6,17.229729729729733
District of Columbia,2012,Overall,All Races,Age 25 and Older,< 12th Grade,41.0,42.9,-4.428904428904426
District of Columbia,2012,Overall,All Races,Age 25 and Older,> 12th Grade,11.8,15.0,-21.33333333333333
District of Columbia,2012,Overall,All Races,All Ages,All Grades,19.6,20.8,-5.769230769230766
District of Columbia,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
District of Columbia,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,3.8,9.6,-60.41666666666667
District of Columbia,2012,Overall,Hispanic,All Ages,All Grades,21.7,15.2,42.76315789473684
District of Columbia,2012,Overall,White,All Ages,All Grades,10.7,9.6,11.45833333333333
Florida,2012,Female,All Races,18 to 44 Years,All Grades,17.6,18.6,-5.376344086021505
Florida,2012,Female,All Races,All Ages,All Grades,15.8,16.9,-6.508875739644958
Florida,2012,Male,All Races,All Ages,All Grades,19.7,21.8,-9.633027522935786
Florida,2012,Overall,African American,All Ages,All Grades,15.6,16.4,-4.8780487804877986
Florida,2012,Overall,All Races,18 to 24 Years,All Grades,17.8,20.1,-11.442786069651744
Florida,2012,Overall,All Races,25 to 44 Years,All Grades,21.5,23.0,-6.521739130434782
Florida,2012,Overall,All Races,45 to 64 Years,All Grades,20.6,23.4,-11.965811965811955
Florida,2012,Overall,All Races,65 Years and Older,All Grades,8.1,7.9,2.531645569620244
Florida,2012,Overall,All Races,Age 20 and Older,12th Grade,21.4,23.0,-6.956521739130441
Florida,2012,Overall,All Races,Age 20 and Older,< 12th Grade,27.6,29.2,-5.479452054794513
Florida,2012,Overall,All Races,Age 20 and Older,> 12th Grade,13.3,15.1,-11.920529801324497
Florida,2012,Overall,All Races,Age 25 and Older,12th Grade,20.9,22.8,-8.333333333333343
Florida,2012,Overall,All Races,Age 25 and Older,< 12th Grade,26.9,28.7,-6.271777003484322
Florida,2012,Overall,All Races,Age 25 and Older,> 12th Grade,13.3,14.9,-10.738255033557046
Florida,2012,Overall,All Races,All Ages,All Grades,17.7,19.3,-8.290155440414514
Florida,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,41.7,32.3,29.10216718266256
Florida,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,17.9,5.6,219.64285714285717
Florida,2012,Overall,Hispanic,All Ages,All Grades,13.3,15.1,-11.920529801324497
Florida,2012,Overall,White,All Ages,All Grades,19.6,21.2,-7.547169811320744
Georgia,2012,Female,All Races,18 to 44 Years,All Grades,18.5,20.1,-7.960199004975131
Georgia,2012,Female,All Races,All Ages,All Grades,17.4,18.2,-4.3956043956043995
Georgia,2012,Male,All Races,All Ages,All Grades,23.5,24.3,-3.2921810699588505
Georgia,2012,Overall,African American,All Ages,All Grades,19.3,17.5,10.285714285714288
Georgia,2012,Overall,All Races,18 to 24 Years,All Grades,22.3,25.0,-10.799999999999997
Georgia,2012,Overall,All Races,25 to 44 Years,All Grades,23.2,23.6,-1.6949152542372972
Georgia,2012,Overall,All Races,45 to 64 Years,All Grades,21.5,21.8,-1.376146788990829
Georgia,2012,Overall,All Races,65 Years and Older,All Grades,9.9,10.8,-8.333333333333336
Georgia,2012,Overall,All Races,Age 20 and Older,12th Grade,22.3,23.9,-6.694560669456058
Georgia,2012,Overall,All Races,Age 20 and Older,< 12th Grade,36.9,35.7,3.3613445378151137
Georgia,2012,Overall,All Races,Age 20 and Older,> 12th Grade,14.8,15.0,-1.3333333333333286
Georgia,2012,Overall,All Races,Age 25 and Older,12th Grade,21.3,23.7,-10.126582278481006
Georgia,2012,Overall,All Races,Age 25 and Older,< 12th Grade,36.5,34.4,6.104651162790702
Georgia,2012,Overall,All Races,Age 25 and Older,> 12th Grade,14.7,14.8,-0.6756756756756852
Georgia,2012,Overall,All Races,All Ages,All Grades,20.4,21.2,-3.773584905660381
Georgia,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,42.7,
Georgia,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,10.4,10.9,-4.587155963302752
Georgia,2012,Overall,Hispanic,All Ages,All Grades,19.4,12.6,53.96825396825396
Georgia,2012,Overall,White,All Ages,All Grades,21.4,24.2,-11.5702479338843
Guam,2012,Female,All Races,18 to 44 Years,All Grades,22.2,28.4,-21.830985915492956
Guam,2012,Female,All Races,All Ages,All Grades,20.5,25.1,-18.32669322709164
Guam,2012,Male,All Races,All Ages,All Grades,31.0,35.8,-13.407821229050272
Guam,2012,Overall,African American,All Ages,All Grades,,,
Guam,2012,Overall,All Races,18 to 24 Years,All Grades,19.2,33.9,-43.362831858407084
Guam,2012,Overall,All Races,25 to 44 Years,All Grades,31.0,35.8,-13.407821229050272
Guam,2012,Overall,All Races,45 to 64 Years,All Grades,28.1,27.1,3.6900369003690034
Guam,2012,Overall,All Races,65 Years and Older,All Grades,10.2,15.1,-32.450331125827816
Guam,2012,Overall,All Races,Age 20 and Older,12th Grade,31.9,36.1,-11.634349030470922
Guam,2012,Overall,All Races,Age 20 and Older,< 12th Grade,44.0,50.0,-12.0
Guam,2012,Overall,All Races,Age 20 and Older,> 12th Grade,15.2,18.4,-17.391304347826086
Guam,2012,Overall,All Races,Age 25 and Older,12th Grade,34.7,36.9,-5.962059620596195
Guam,2012,Overall,All Races,Age 25 and Older,< 12th Grade,44.6,46.2,-3.4632034632034663
Guam,2012,Overall,All Races,Age 25 and Older,> 12th Grade,15.6,18.5,-15.675675675675679
Guam,2012,Overall,All Races,All Ages,All Grades,25.8,30.5,-15.409836065573769
Guam,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,10.1,16.7,-39.52095808383234
Guam,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,34.9,38.0,-8.157894736842108
Guam,2012,Overall,Hispanic,All Ages,All Grades,33.7,28.8,17.013888888888896
Guam,2012,Overall,White,All Ages,All Grades,16.6,23.8,-30.25210084033613
Hawaii,2012,Female,All Races,18 to 44 Years,All Grades,15.5,17.1,-9.356725146198839
Hawaii,2012,Female,All Races,All Ages,All Grades,11.6,13.9,-16.54676258992806
Hawaii,2012,Male,All Races,All Ages,All Grades,17.5,19.7,-11.167512690355327
Hawaii,2012,Overall,African American,All Ages,All Grades,14.9,,
Hawaii,2012,Overall,All Races,18 to 24 Years,All Grades,17.6,23.2,-24.13793103448275
Hawaii,2012,Overall,All Races,25 to 44 Years,All Grades,18.8,20.6,-8.737864077669904
Hawaii,2012,Overall,All Races,45 to 64 Years,All Grades,14.9,16.5,-9.696969696969695
Hawaii,2012,Overall,All Races,65 Years and Older,All Grades,5.3,6.6,-19.696969696969695
Hawaii,2012,Overall,All Races,Age 20 and Older,12th Grade,20.2,21.8,-7.33944954128441
Hawaii,2012,Overall,All Races,Age 20 and Older,< 12th Grade,22.8,27.3,-16.483516483516482
Hawaii,2012,Overall,All Races,Age 20 and Older,> 12th Grade,11.2,11.9,-5.88235294117648
Hawaii,2012,Overall,All Races,Age 25 and Older,12th Grade,19.6,21.2,-7.547169811320744
Hawaii,2012,Overall,All Races,Age 25 and Older,< 12th Grade,20.6,25.1,-17.92828685258964
Hawaii,2012,Overall,All Races,Age 25 and Older,> 12th Grade,10.8,12.1,-10.743801652892554
Hawaii,2012,Overall,All Races,All Ages,All Grades,14.6,16.8,-13.095238095238102
Hawaii,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Hawaii,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,11.1,12.0,-7.500000000000003
Hawaii,2012,Overall,Hispanic,All Ages,All Grades,24.5,26.7,-8.239700374531834
Hawaii,2012,Overall,White,All Ages,All Grades,13.3,15.3,-13.071895424836601
Idaho,2012,Female,All Races,18 to 44 Years,All Grades,21.5,16.6,29.518072289156617
Idaho,2012,Female,All Races,All Ages,All Grades,16.6,15.0,10.666666666666677
Idaho,2012,Male,All Races,All Ages,All Grades,16.3,19.4,-15.979381443298958
Idaho,2012,Overall,African American,All Ages,All Grades,,,
Idaho,2012,Overall,All Races,18 to 24 Years,All Grades,21.0,18.2,15.384615384615389
Idaho,2012,Overall,All Races,25 to 44 Years,All Grades,20.1,21.1,-4.739336492890995
Idaho,2012,Overall,All Races,45 to 64 Years,All Grades,14.5,17.3,-16.184971098265898
Idaho,2012,Overall,All Races,65 Years and Older,All Grades,8.8,8.4,4.761904761904766
Idaho,2012,Overall,All Races,Age 20 and Older,12th Grade,25.5,23.1,10.389610389610382
Idaho,2012,Overall,All Races,Age 20 and Older,< 12th Grade,29.3,33.1,-11.480362537764352
Idaho,2012,Overall,All Races,Age 20 and Older,> 12th Grade,10.1,11.4,-11.403508771929829
Idaho,2012,Overall,All Races,Age 25 and Older,12th Grade,24.6,22.4,9.821428571428585
Idaho,2012,Overall,All Races,Age 25 and Older,< 12th Grade,25.7,32.8,-21.64634146341463
Idaho,2012,Overall,All Races,Age 25 and Older,> 12th Grade,9.7,11.4,-14.912280701754396
Idaho,2012,Overall,All Races,All Ages,All Grades,16.4,17.2,-4.651162790697679
Idaho,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,31.4,13.8,127.53623188405795
Idaho,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,,,
Idaho,2012,Overall,Hispanic,All Ages,All Grades,15.6,18.2,-14.285714285714283
Idaho,2012,Overall,White,All Ages,All Grades,15.8,16.8,-5.9523809523809526
Illinois,2012,Female,All Races,18 to 44 Years,All Grades,18.2,18.0,1.1111111111111072
Illinois,2012,Female,All Races,All Ages,All Grades,16.2,17.8,-8.988764044943828
Illinois,2012,Male,All Races,All Ages,All Grades,21.1,24.2,-12.809917355371892
Illinois,2012,Overall,African American,All Ages,All Grades,22.5,27.1,-16.97416974169742
Illinois,2012,Overall,All Races,18 to 24 Years,All Grades,15.4,25.2,-38.888888888888886
Illinois,2012,Overall,All Races,25 to 44 Years,All Grades,24.4,24.1,1.2448132780082868
Illinois,2012,Overall,All Races,45 to 64 Years,All Grades,19.5,22.6,-13.71681415929204
Illinois,2012,Overall,All Races,65 Years and Older,All Grades,7.7,7.6,1.3157894736842175
Illinois,2012,Overall,All Races,Age 20 and Older,12th Grade,24.0,28.7,-16.376306620209057
Illinois,2012,Overall,All Races,Age 20 and Older,< 12th Grade,28.2,31.8,-11.320754716981135
Illinois,2012,Overall,All Races,Age 20 and Older,> 12th Grade,15.4,15.2,1.3157894736842175
Illinois,2012,Overall,All Races,Age 25 and Older,12th Grade,23.4,26.7,-12.359550561797755
Illinois,2012,Overall,All Races,Age 25 and Older,< 12th Grade,27.3,30.7,-11.07491856677524
Illinois,2012,Overall,All Races,Age 25 and Older,> 12th Grade,15.4,14.7,4.76190476190477
Illinois,2012,Overall,All Races,All Ages,All Grades,18.6,20.9,-11.004784688995203
Illinois,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,,
Illinois,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,13.6,5.8,134.48275862068965
Illinois,2012,Overall,Hispanic,All Ages,All Grades,14.5,23.5,-38.297872340425535
Illinois,2012,Overall,White,All Ages,All Grades,18.7,19.8,-5.5555555555555625
Indiana,2012,Female,All Races,18 to 44 Years,All Grades,25.2,28.4,-11.267605633802816
Indiana,2012,Female,All Races,All Ages,All Grades,21.6,23.8,-9.243697478991594
Indiana,2012,Male,All Races,All Ages,All Grades,26.5,27.6,-3.9855072463768164
Indiana,2012,Overall,African American,All Ages,All Grades,29.2,31.4,-7.006369426751591
Indiana,2012,Overall,All Races,18 to 24 Years,All Grades,26.1,29.0,-9.999999999999996
Indiana,2012,Overall,All Races,25 to 44 Years,All Grades,28.9,31.0,-6.774193548387101
Indiana,2012,Overall,All Races,45 to 64 Years,All Grades,26.2,26.3,-0.3802281368821347
Indiana,2012,Overall,All Races,65 Years and Older,All Grades,9.9,11.5,-13.913043478260867
Indiana,2012,Overall,All Races,Age 20 and Older,12th Grade,27.3,29.8,-8.389261744966444
Indiana,2012,Overall,All Races,Age 20 and Older,< 12th Grade,43.2,45.8,-5.6768558951964945
Indiana,2012,Overall,All Races,Age 20 and Older,> 12th Grade,17.6,18.0,-2.2222222222222143
Indiana,2012,Overall,All Races,Age 25 and Older,12th Grade,26.4,28.5,-7.368421052631584
Indiana,2012,Overall,All Races,Age 25 and Older,< 12th Grade,40.5,43.0,-5.813953488372093
Indiana,2012,Overall,All Races,Age 25 and Older,> 12th Grade,17.7,17.9,-1.117318435754186
Indiana,2012,Overall,All Races,All Ages,All Grades,24.0,25.6,-6.250000000000005
Indiana,2012,Overall,American Indian/Alaska Native,All Ages,All Grades,,36.7,
Indiana,2012,Overall,Asian/Pacific Islander,All Ages,All Grades,9.7,21.5,-54.883720930232556
